STIX ID,Type,Mitigation Name,Description,Short Description,Created,Modified,spec_version,x_mitre_is_subtechnique,x_mitre_parent_ref,x_mitre_aliases,External References,External ID,URL
course-of-action--756cf372-827f-4d3a-9ba8-35c9b1bfac04,course-of-action,Country Risk Assessment,"A structured procedural measure where financial institutions systematically categorize and assign risk ratings to jurisdictions based on corruption levels, regulatory robustness, sanctions status, and other relevant indicators. This enables targeted allocation of compliance resources and intensified due diligence for higher-risk geographies. By adjusting scrutiny and monitoring according to country risk ratings, FIs improve their ability to detect suspicious activities, mitigate potential misuse of services by criminals, and align with a risk-based approach for AML/CFT compliance.","Financial institutions employ country risk assessments to systematically categorize jurisdictions based on corruption levels, regulatory gaps, and sanctions exposure. These findings drive targeted AML/CFT controls such as heightened monitoring, enhanced due diligence, service restrictions, and other tailored risk-based measures.",2025-04-08T07:48:43.600387+00:00,2025-04-08T07:48:43.600387+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0001"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0001""
  }
]",M0001,https://framework.amltrix.com/mitigations/M0001
course-of-action--c0643161-9097-4be6-ab24-6b2297b36eb9,course-of-action,Enhanced Due Diligence (EDD),"Enhanced Due Diligence (EDD) is a procedural control requiring financial institutions to perform deeper analysis and verification of customers or relationships considered higher risk for money laundering or terrorist financing. This includes thoroughly assessing sources of wealth and funds, scrutinizing beneficial ownership structures (including complex or opaque arrangements), and applying more frequent and rigorous monitoring. By demanding senior management approval for high-risk accounts and continuously verifying key information, EDD increases transparency and deters illicit financial flows, ensuring higher vigilance in identified elevated-risk scenarios.","Enhanced Due Diligence (EDD) involves deeper background checks, verification of beneficial ownership, and stricter scrutiny of high-risk customers (e.g., complex trust structures or PEPs) to verify sources of wealth and funds. By applying more rigorous oversight and ongoing monitoring, EDD mitigates heightened ML/TF risks and maintains clear visibility of customer activities.",2025-04-08T07:48:43.600387+00:00,2025-04-08T07:48:43.600387+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0002"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0002""
  }
]",M0002,https://framework.amltrix.com/mitigations/M0002
course-of-action--60df1714-5664-46e1-8ef5-007d8bfbe746,course-of-action,Customer Due Diligence (CDD),"Customer Due Diligence (CDD) is a core procedural control requiring financial institutions to identify and verify key details about their customers (including beneficial owners) at the outset of a business relationship and on an ongoing basis. By collecting and verifying personal and corporate information (for example, via official documents, digital identity checks, or biometric methods), CDD prevents anonymous or misrepresented account usage and clarifies who truly owns or controls an account or legal entity. This transparency underpins effective AML/CFT measures by enabling enhanced transaction monitoring, detection of unusual or suspicious activity, and targeted risk management. CDD’s practical relevance lies in its requirement for financial institutions to maintain accurate, up-to-date customer data so they can promptly spot red flags (such as atypical transactions or changes in ownership), fulfill mandatory reporting obligations, and conduct timely investigations when necessary. As a result, CDD provides a foundational layer that helps ensure compliance, safeguards institutional reputations, and diminishes opportunities for illicit abuse of financial products and services.","Financial institutions systematically gather, verify, and keep customer information current—covering both direct customers and beneficial owners—to reduce anonymity and fraud risks. This robust approach underpins effective ongoing monitoring of suspicious or unusual transactions, forming a core preventive AML measure.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0003"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0003""
  }
]",M0003,https://framework.amltrix.com/mitigations/M0003
course-of-action--4c3fe951-5fe1-457f-8c1c-a974af1eafc3,course-of-action,Blockchain Monitoring,"Blockchain Monitoring is a specialized technology-based control that financial institutions integrate into their AML/CFT frameworks to detect, investigate, and disrupt illicit activities in cryptocurrencies and digital wallets. By applying advanced analytics and chain analysis, it traces fund flows, identifies abnormal or suspicious transaction patterns, and illuminates connections among blockchain entities. This increased transparency enables the filing of suspicious transaction reports, targeted asset freezing, and focused investigations against threats such as layering, ransomware-related flows, and cross-border transfers exploiting the pseudonymous nature of digital assets. Integrated into existing compliance workflows, Blockchain Monitoring significantly strengthens an institution’s capability to safeguard against the misuse of cryptocurrency services and enhance overall AML/CFT controls.","Blockchain Monitoring leverages specialized analytics and software to continuously track and analyze cryptocurrency transactions, enabling the identification of suspicious activity patterns, tracing of illicit fund flows, and prompt detection of potential money laundering and fraud.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0011"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0011""
  }
]",M0011,https://framework.amltrix.com/mitigations/M0011
course-of-action--1980fec3-9762-4027-a693-235f27b86b0d,course-of-action,Record-Keeping & Audit Trails,"Record-Keeping & Audit Trails is both a procedural and technological control that systematically preserves, organizes, and maintains all relevant transaction records, customer due diligence information, and investigative or regulatory reports. Its primary AML/CFT objective is to create a reliable chronological trail that fosters transparency and traceability, supporting faster detection and investigation of suspicious transactions. By enforcing strict data retention (commonly for five or more years) and utilizing thorough audit logs, financial institutions can reconstruct the flow of funds, uncover irregularities, and produce reliable evidence for enforcement, regulatory, or supervisory actions. In practice, this measure underpins effective compliance and risk management, guiding staff to capture and securely store comprehensive transaction data for subsequent review, while ensuring that internal controls, monitoring, and investigative processes are well-documented and readily accessible for scrutiny by auditors or law enforcement.","Maintain thorough records and audit trails of all customer interactions, transactions, and AML activities to enable effective compliance reviews and support forensic investigations. This involves strict data retention policies, regular backups, and robust audit logs that help identify suspicious trends and ensure regulatory adherence.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0015"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0015""
  }
]",M0015,https://framework.amltrix.com/mitigations/M0015
course-of-action--7543e14f-b36e-473f-846f-dd7ef1871068,course-of-action,Customer Education and Awareness,"Customer Education and Awareness is a procedural and organizational control designed to prevent and detect money laundering (ML), terrorist financing (TF), and other financial crimes by informing and empowering customers. In practice, financial institutions provide clear, targeted messaging through campaigns, advisories, onboarding materials, and ongoing communications, teaching customers how to spot suspicious red flags and protect their accounts. By equipping customers with practical guidance—such as fraud avoidance tips, indicators of trade-based money laundering, and reporting channels—FIs strengthen overall AML/CFT outcomes. This control increases vigilance among legitimate clients, widens the institution’s protective footprint, and supports investigative efforts when abnormalities arise. Concrete measures can include community workshops, digital bulletins, in-app security prompts, or tailored outreach for vulnerable segments. By embedding customer-facing education in AML/CFT frameworks, FIs reinforce responsible behavior, enhance transparency, and help minimize illicit exploitation of products or services.","By informing customers about financial crime risks, safe transaction practices, and the importance of regulated channels, institutions foster greater vigilance and reduce vulnerability to fraud. Through clear onboarding materials, outreach campaigns, and advisory guidance, customers gain the knowledge needed to protect themselves from illicit schemes and uphold AML/CFT compliance.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0016"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0016""
  }
]",M0016,https://framework.amltrix.com/mitigations/M0016
course-of-action--1fcd0a0e-e274-49e4-b3d5-adc011990269,course-of-action,Risk-Based Customer Profiling and Segmentation,"Risk-Based Customer Profiling and Segmentation is a procedural and analytical control that classifies customers into distinct risk tiers based on factors such as geographic exposure, transaction patterns, product usage, and industry type. Its primary AML/CFT purpose is to facilitate targeted monitoring and due diligence, focusing enhanced scrutiny on higher-risk segments while minimizing false positives among lower-risk customers. By continuously updating customer profiles and refining segmentation criteria, financial institutions can calibrate transaction monitoring thresholds, direct investigative resources more effectively, and promptly identify unusual behavior for rapid escalation, ultimately bolstering their capacity to detect and deter illicit financial activity.","Develop tailored risk profiles for customers by evaluating factors such as transaction activity, product usage, geography, and industry, then update these segments continuously to align AML resources, refine transaction monitoring, and apply appropriate due diligence. This proactive approach helps identify risky deviations early and effectively mitigate higher-risk customer relationships.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0017"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0017""
  }
]",M0017,https://framework.amltrix.com/mitigations/M0017
course-of-action--3bd204e5-1ce8-4356-88d6-409663770f8a,course-of-action,Transaction Monitoring,"Transaction Monitoring is a key detective measure enabling financial institutions to continuously track and evaluate customer transactions across accounts, products, and channels, including digital assets. It relies on rules-based scenarios, advanced analytics, and alert-generation mechanisms to identify activities deviating from a customer’s established risk profile. Detected alerts are escalated through well-defined pathways for investigation, helping determine whether the activity is potentially money laundering, terrorist financing, or another illicit scheme. This control is most effective when supported by accurate, comprehensive data, robust scenario coverage (frequently tuned and enhanced to capture emerging typologies), and a clear escalation process for compliance or law enforcement referrals. Within an FI, it typically integrates with case management systems to document and streamline investigations, ensuring timely alerts and, where necessary, regulatory reporting. By harnessing ongoing oversight, data governance, and scenario refinement, transaction monitoring helps mitigate illicit financial risks, strengthens institutional AML/CFT frameworks, and supports prompt detection and intervention in suspicious transactions.","Transaction Monitoring is a detective process that uses real-time or periodic analysis—integrating rules-based scenarios, advanced analytics, and automated compliance checks—to swiftly identify and escalate suspicious activity, ensuring timely investigation and potential regulatory reporting.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0004"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0004""
  }
]",M0004,https://framework.amltrix.com/mitigations/M0004
course-of-action--8646a378-75e6-471a-9d30-5c55bbff6aa9,course-of-action,Sanctions & Watchlist Screening,"Sanctions & Watchlist Screening is a combined procedural and technological measure by which financial institutions identify and restrict transactions or relationships involving sanctioned or high-risk individuals, entities, or jurisdictions. It systematically compares customer and transaction data against official sanctions lists (e.g., UN, OFAC, EU), PEP records, adverse media sources, and internal watchlists. This process operates in real time or via scheduled batch checks, flagging or blocking potential matches to prevent unauthorized or illegal transactions. Integrated with KYC/CDD and transaction monitoring workflows, it enables compliance teams to investigate alerts, apply measures such as account freezing or transaction rejection, and perform enhanced due diligence. By disrupting illicit flows and ensuring compliance with AML/CFT standards, it helps protect the institution’s operations from misuse by sanctioned or high-risk parties and mitigates legal and reputational risks.","Sanctions & Watchlist Screening systematically identifies and flags individuals or entities by comparing customers and transactions against sanctions lists, PEP databases, adverse media, and internal watchlists. This ensures AML/CFT compliance by preventing unauthorized or high-risk engagements and supporting swift investigation or account restrictions as needed.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0005"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0005""
  }
]",M0005,https://framework.amltrix.com/mitigations/M0005
course-of-action--d60b069a-dc7e-4723-81a6-f82f37aba6ae,course-of-action,Suspicious Activity Reporting (SARs/STRs),"Suspicious Activity Reporting (SARs/STRs) is a procedural and technological control obliging financial institutions (FIs) to identify, assess, and document transactions or account activities that appear unusual or potentially linked to illicit conduct, and then promptly submit standardized reports to their respective financial intelligence units or authorities. It serves an explicit AML/CFT function by driving early detection and escalation of possible money laundering, terrorist financing, or other unlawful activities. In practice, FIs integrate automated surveillance systems and well-defined reporting protocols to generate alerts, train staff to recognize behavioral red flags, and establish clear processes for escalating suspicious activity to designated officers. This increases transparency in the financial sector, supports regulatory obligations, and enhances industry-wide collaboration with investigative authorities. As highlighted in record 1480, effective SAR/STR frameworks often rely on standardized reporting modules and management oversight mechanisms (e.g., ratio of filed reports to cases). Further, record 1426 underscores the need for mandatory staff escalation procedures and clear reporting channels to ensure that unusual activities are properly investigated. Finally, record 938 emphasizes the critical role played by frontline FIs in screening transactions, filing suspicious transaction reports, and sharing relevant intelligence with authorities in a timely manner.","Financial institutions implement Suspicious Activity Reporting by identifying red flags, securely documenting and escalating unusual transactions, and submitting standardized reports to financial intelligence units while maintaining strict confidentiality protocols. This detective and corrective measure aids in preventing illicit activities by ensuring timely, compliant, and secure communication of suspicious behaviors to the relevant authorities.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0018"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0018""
  }
]",M0018,https://framework.amltrix.com/mitigations/M0018
course-of-action--57eac89e-0d11-4da0-913a-5d9a372a0fe2,course-of-action,Third-Party Risk Management,"Third-Party Risk Management is an organizational and procedural control that safeguards financial institutions against money laundering and terrorism financing (ML/TF) vulnerabilities introduced by external vendors, service providers, or other partners. Its primary AML/CFT purpose is to ensure that any third party’s activities, products, or systems meet the institution’s compliance standards, thereby preventing criminal exploitation and maintaining oversight of outsourced operations. In practice, FIs implement ongoing due diligence at the onboarding stage—reviewing the third party’s AML track record, compliance practices, and financial stability—and extend these controls through periodic reviews, audits, and established governance procedures. This helps detect hidden ownership, mitigate risks from large or unexplained third-party transactions, and guarantee an effective response if suspicious behavior arises. By clearly outlining roles, responsibilities, and reporting obligations through service-level agreements and continuous monitoring, Third-Party Risk Management supports a robust control environment and protects the institution’s AML/CFT integrity throughout the vendor lifecycle.","Third-Party Risk Management involves conducting comprehensive risk assessments, due diligence, and contractual AML clauses to ensure that external vendors and partners meet regulatory standards. By continuously monitoring these relationships and performing periodic audits, financial institutions can prevent undue financial crime vulnerabilities.",2025-04-08T07:48:43.601001+00:00,2025-04-08T07:48:43.601001+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0006"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0006""
  }
]",M0006,https://framework.amltrix.com/mitigations/M0006
course-of-action--9454586a-a25f-4dbc-aee0-b1776d4dd3e4,course-of-action,Cash Transaction Reporting (CTR),"Cash Transaction Reporting (CTR) is a procedural AML control that obliges financial institutions (FIs) to identify and report large or threshold-based cash transactions to relevant authorities. By requiring timely disclosures of significant in-branch or electronic cash movements, CTR creates a reliable audit trail and strengthens FIs’ ability to detect and disrupt criminal strategies involving bulk cash, structuring, or rapid layering. Within an FI’s operating environment, staff or automated systems track cash inflows and outflows, flag those above the set reporting threshold, and then submit CTRs. This process improves transparency, helps investigators map illicit fund flows, and deters criminals by making it more difficult to conceal high-value or repetitive cash activity.","Cash Transaction Reporting (CTR) mandates that financial institutions document and disclose large or threshold-based cash transactions to authorities, providing an audit trail that helps identify and investigate suspicious cash flows. This systematic reporting strengthens AML defenses by ensuring heightened visibility and accountability for high-value cash movements.",2025-04-08T07:48:43.601643+00:00,2025-04-08T07:48:43.601643+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0007"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0007""
  }
]",M0007,https://framework.amltrix.com/mitigations/M0007
course-of-action--c6535116-a34f-4ec6-98cd-008db52107f3,course-of-action,Transaction Escrow Management,"Transaction Escrow Management is a procedural measure whereby funds are temporarily held in a dedicated escrow account until specified conditions, including compliance checks and due diligence, are satisfied. By delaying the release of high-risk or large-value transactions, this control ensures thorough verification of customer identities, sources of funds, and supporting documentation prior to final settlement. Through this mechanism, financial institutions interrupt potential money laundering or unauthorized financing activities, reinforce transparency and oversight of transaction flows, and bolster overall AML/CFT defenses by preventing the immediate and unrestricted movement of funds.","Transaction Escrow Management involves holding funds in escrow accounts during high-risk transactions until all parties and compliance checks have been satisfied. This ensures added oversight, helping mitigate fraudulent or suspicious activity by preventing direct fund movement until conditions are met.",2025-04-08T07:48:43.601643+00:00,2025-04-08T07:48:43.601643+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0020"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0020""
  }
]",M0020,https://framework.amltrix.com/mitigations/M0020
course-of-action--a482c38d-45c2-4f94-bbe5-511d496801fd,course-of-action,Access Authentication & Monitoring,"A combined procedural and technological measure that employs multi-factor authentication to robustly verify user identity and continuously supervises real-time access to financial institution systems. By incorporating two or more independent authentication factors (for example, passwords plus device-based or biometric credentials), it ensures strong identity verification and reduces the risk of unauthorized access. Concurrently, it monitors user sessions to identify suspicious usage patterns or privilege misuse, providing early warning of potential insider threats or external breaches. This measure underpins AML/CFT defenses by safeguarding critical investigative data and maintaining the integrity of monitoring processes. In practice, it enhances security culture, ensures adherence to regulatory obligations, and helps thwart the misuse of internal platforms for money laundering or terrorist financing.","Implement multi-factor authentication and real-time access monitoring to proactively detect and prevent unauthorized use, insider threats, and fraud, thereby enhancing AML/CFT compliance. This approach strengthens identity verification protocols and provides continuous oversight of user actions within financial systems.",2025-04-08T07:48:43.601643+00:00,2025-04-08T07:48:43.601643+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""M0008"",
    ""url"": ""https://framework.amltrix.com/mitigations/M0008""
  }
]",M0008,https://framework.amltrix.com/mitigations/M0008
